|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
0|WFL/OPCON/COPIA/SALIDA/CRCESTPXDE|OPERACION|2024-09-11|1|2.11253918760193e-06
1|*SYSTEM/CNS/TRANSLATION|RED|2024-09-11|2|0.0
2|WFL/OPCON/COPIA/ENTRADA/DRACTUACPM|OPERACION|2024-09-11|1|1.8778126112017155e-06
3|(SINCO)PSINCO/CRCONMAPLB ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.382460572976962
4|WFL/OPCON/CRCEEVCVER|OPERACION|2024-09-11|2|1.4396563352546484e-06
5|WFL/OPCON/CRMOVISINE|INVENTARIOS|2024-09-11|2|2.8480157936559352e-06
6|(SINCO)PSINCO/WRESXORP ON EXF|ROTAR|2024-09-11|7|0.014839054245937743
7|(SINCO)PSINCO/CRSUSPPLMA ON EXF|UNISYS_UNASSIGNED|2024-09-11|4|0.01520129994707698
8|WFL/OPCON/CRCARSIMUL/MULTI|EVENTOS|2024-09-11|20|8.012000474460654e-06
9|SYSTEM/STATION/TRANSFER|UNISYS_SW1|2024-09-11|2|3.2580048804349874e-05
10|*WLM/EMAIL/CALLER/LIB ON CPSAMPLER|OPERACION|2024-09-11|11|3.7478010031900904e-05
11|WFL/OPCON/COPIA/SALIDA/CRCARPRESU/PP|PRECIOS|2024-09-11|4|1.2330969480224597e-05
12|WFL/OPCON/COPIA/ENTRADA/WRCARGANNS/CORTE|OPERACION|2024-09-11|14|2.710309535501142e-05
13|(SINCO)PSINCO/CRCEFSBL ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.9120346819470536
14|(SINCO)PSINCO/IRCREIIAVE ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.0007083265653837137
15|WFL/OPCON/ACTBDPPIV|OPERACION|2024-09-11|1|3.755625222403431e-07
16|(SINCO)PSINCO/CRPEDIDO ON EXF|PEDIDOS|2024-09-11|2|0.0008891912167192917
17|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRSEGDREC|OPERACION|2024-09-11|1|1.5961407195214583e-06
18|WFL/OPCON/COPIA/SALIDA/WRNOVPRESI|OPERACION|2024-09-11|1|1.5335469658147343e-06
19|(SINCO)PSINCO/CRCREARFAB ON EXF|COSTOS|2024-09-11|1|0.00015024065733456392
20|WFL/OPCON/RESPALDO/SALIDA/CRCOSTEOCR|VENTAS|2024-09-11|1|1.0484453745876245e-06
21|SOCKET/ROUTER/WORKER/|RED|2024-09-11|8|0.0
22|WFL/OPCON/DRACTUACPM|OPERACION|2024-09-11|1|1.5178985273880533e-06
23|WFL/OPCON/COPIA/SALIDA/RESPALDO/DRMARLIPRD|OPERACION|2024-09-11|92|0.002989289895772011
24|WFL/OPCON/WRESXLTV|ROTAR|2024-09-11|645|0.0011456065287788867
25|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRBAJAPEDI/CORTES|PEDIDOS|2024-09-11|151|0.0005662856897847309
26|WFL/OPCON/CRCARPREMA|PRECIOS|2024-09-11|75|0.00013312126569577502
27|(SINCO)PROCESATRANSFER|UNISYS_UNASSIGNED|2024-09-11|1|2.472453271415592e-06
28|WFL/OPCON/CRGENSUMIN|OPERACION|2024-09-11|4|6.024648794272171e-06
29|(SINCO)PSINCO/CRMENFINPR ON EXF|NOVEDADES|2024-09-11|1|0.00018030130755221805
30|WFL/OPCON/COPIA/DUMMY/TITULO/CRCOSREAUT|OPERACION|2024-09-11|1|2.362914202428825e-06
31|WFL/OPCON/COPIA/SNDMV/SALIDA/WRPMENVRNS|OPERACION|2024-09-11|1|2.11253918760193e-06
32|WFL/OPCON/WRCARGATRA|WMS|2024-09-11|266|0.0012730161144489226
33|CCF/OI_HANDLER|SINCO|2024-09-11|2|4.3815627594706694e-07
34|*SYSTEM/MCPSERVER/COMSTP|UNISYS_SW1|2024-09-11|10|4.428508074750712e-06
35|(SINCO)PSINCO/CRLISCACLI ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|1.3598492992785759e-05
36|WFL/OPCON/COPIA/SNDMV/ENTRADA/WREXORH|ROTAR|2024-09-11|7|2.0734180915352274e-05
37|WFL/OPCON/COPIA/SALIDA/RESPALDO/DRCARGAINV|OPERACION|2024-09-11|121|0.0002613758670408521
38|WFL/OPCON/WRESXORL/CORTES|ROTAR|2024-09-11|5|8.324969242994272e-06
39|WFL/OPCON/COPIA/ENTRADA/RESPALDO/CRRECALCOS|OPERACION|2024-09-11|1|1.9560548033351204e-06
40|WFL/OPCON/CONCATENA/PLANOS/CRMONEGCED|OPERACION|2024-09-11|10|1.5664086865107644e-05
41|UTIL/COPIA/PARTICIPA|OPERACION|2024-09-11|26|5.5254636084610476e-05
42|WFL/OPCON/COPIA/SALIDA/CRSEGUIEVE/SS|EVENTOS|2024-09-11|4|7.98070359760729e-06
43|DATACOMSUPPORT/|UNISYS_SW1|2024-09-11|2|0.0
44|WFL/OPCON/COPIA/SALIDA/CRCARPREFA|PRECIOS|2024-09-11|4|7.777273898060438e-06
45|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRACTUAVIA|OPERACION|2024-09-11|24|3.9481010150516065e-05
46|WFL/OPCON/COPIA/SALIDA/IRGECONSE|OPERACION|2024-09-11|1|3.6930314686967073e-06
47|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRBOREXCEP|OPERACION|2024-09-11|1|1.9091094880550772e-06
48|(SINCO)PSINCO/PRWDEVODUP ON EXF|CXP|2024-09-11|3|0.0012053366182535278
49|*SYSTEM/SECURITYCENTERDB/DMSUPPORT|UNISYS_UNASSIGNED|2024-09-11|4|0.0
50|(SINCO)OBJECT/PSINCO/COBOL/COBINDEVMI ON EXF|INVENTARIOS|2024-09-11|3|3.151595499133546e-05
51|WFL/OPCON/COPIA/ENTRADA/RESPALDO/CRMONEGCED|OPERACION|2024-09-11|10|1.4756477436360147e-05
52|WFL/OPCON/COPIA/SANDM/SALIDA/WRPMCARPAV|OPERACION|2024-09-11|1|1.8308672959216726e-06
53|WFL/OPCON/WRINVENVEN|VENTAS|2024-09-11|655|0.001396779613965544
54|(SINCO)PSINCO/CRINFNECES ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.0003460026220523428
55|WFL/OPCON/BORRA/INDEXADO/WRNOTFACEL|OPERACION|2024-09-11|174|0.00040122596126009985
56|*SYSTEM/CCF/PCM/LOGON|SINCO|2024-09-11|2|1.0015000593075816e-06
57|WFL/OPCON/DRANULASOL|DEVOLUCIONES|2024-09-11|1|3.458304892296493e-06
58|WFL/OPCON/RESPALDO/DRDEVOLCD|OPERACION|2024-09-11|168|0.0002614697576714121
59|(SINCO)PSINCO/DRINFDCREN ON EXF|PROGRAMASUSUARIOS|2024-09-11|2|0.1742745618671967
60|*SYSTEM/SNMPOBJMGR/MCP|UNISYS_SW1|2024-09-11|2|0.023923285721394575
61|WFL/UPDISPEC|UNISYS_UNASSIGNED|2024-09-11|1|9.858516208809007e-07
62|WFL/OPCON/WRAUDIRETA|CONTABLES|2024-09-11|1|1.5491954042414152e-06
63|ALGOL/MCPPRT/WFL/CHECKBROKEN|MONITOREO|2024-09-11|140|0.00017792274491136245
64|WFL/OPCON/COPIA/ENTRADA/IRCARCOSEL|INVENTARIOS|2024-09-11|12604|0.028063455669694194
65|WFL/OPCON/COPIA/SALIDA/CRACTDESCO|OPERACION|2024-09-11|1|1.7682735422149488e-06
66|WFL/OPCON/DRRESUMODA|EVENTOS|2024-09-11|1|1.4240078968279676e-06
67|(SINCO)PSINCO/DRETILMAY ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.004469475686551764
68|(SINCO)PSINCO/SREPCLASEP ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.0008216369080313107
69|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRSBVTAPEF|OPERACION|2024-09-11|1|1.4709532121080105e-06
70|WFL/OPCON/CRCREARCON|OPERACION|2024-09-11|1|1.7682735422149488e-06
71|(SINCO)PSINCO/CRRECALCOS ON EXF|COSTOS|2024-09-11|1|0.00019864127738828815
72|WFL/OPCON/CRCEFSBL|OPERACION|2024-09-11|2|3.7086799071233884e-06
73|(SINCO)PSINCO/CRAPLIVASE ON EXF|COSTOS|2024-09-11|69|0.05021709078629332
74|WFL/OPCON/WRBAJPREAI/ALM|OPERACION|2024-09-11|81|0.00013706467217929852
75|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRACTREGRE|OPERACION|2024-09-11|1|1.643086034801501e-06
76|WFL/OPCON/COPIA/SALIDA/SINE/DESPACHOS|OPERACION|2024-09-11|1|4.006000237230326e-06
77|*SYSTEM/TCPPRTSUPPORT|RED|2024-09-11|2|2.9716384572267245e-05
78|WFL/OPCON/INDEXA/WRAVIRECLI|COMPRAS|2024-09-11|66|0.00010443767805966879
79|WFL/OPCON/COPIA/SALIDA/WRBAJIEVRT|INVENTARIOS|2024-09-11|1|1.674382911654863e-06
80|WFL/OPCON/COPIA/SALIDA/DRCVEMCONS/PROVEEDORES|COBROS|2024-09-11|425|0.003506157817005282
81|WFL/OPCON/COPIA/SALIDA/WREXRECITO|OPERACION|2024-09-11|1|1.7682735422149488e-06
82|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRACTIRECO|PRECIOS|2024-09-11|11|2.5835571842450273e-05
83|*CANDE/STACK|UNISYS_SW1|2024-09-11|6|4.915174509820491e-05
84|WFL/OPCON/CRACTUAVIA|UNISYS_UNASSIGNED|2024-09-11|1|1.4709532121080105e-06
85|WFL/OPCON/CRANULAPED|PEDIDOS|2024-09-11|1|4.350265882617308e-06
86|*SMA/OBJ/UPDATEJOBSTATUS|OPERACION|2024-09-11|1|5.789922217871956e-07
87|(SINCO)PSINCO/CRCOSPROG ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.00014471675856994555
88|(SINCO)OBJECT/COBOL//EXTRACTA/NITS/MCIA-CONS ON EXF|UNISYS_UNASSIGNED|2024-09-11|424|0.0021399865486023276
